iter	Passed	Remaining
0	2	268
1	4	220
2	6	202
3	7	181
4	9	179
5	11	173
6	14	195
7	16	190
8	18	184
9	19	179
10	21	176
11	23	173
12	26	174
13	29	182
14	32	186
15	34	181
16	36	177
17	37	172
18	39	169
19	43	172
20	46	175
21	48	171
22	49	167
23	51	163
24	53	159
25	55	156
26	56	153
27	59	153
28	61	150
29	63	147
30	65	144
31	66	141
32	68	138
33	70	136
34	72	134
35	74	132
36	77	132
37	79	129
38	81	127
39	83	124
40	84	121
41	86	118
42	91	120
43	92	118
44	94	115
45	96	112
46	98	110
47	99	108
48	101	105
49	105	105
50	106	102
51	108	99
52	110	97
53	111	95
54	112	92
55	114	90
56	116	87
57	118	85
58	120	83
59	122	81
60	124	79
61	125	77
62	127	74
63	129	72
64	131	70
65	133	68
66	137	67
67	139	65
68	141	63
69	143	61
70	144	59
71	146	57
72	148	54
73	151	53
74	153	51
75	154	48
76	156	46
77	158	44
78	160	42
79	162	40
80	163	38
81	166	36
82	168	34
83	170	32
84	172	30
85	173	28
86	175	26
87	177	24
88	179	22
89	183	20
90	184	18
91	186	16
92	188	14
93	190	12
94	191	10
95	193	8
96	195	6
97	197	4
98	199	2
99	201	0
